,state_abbr,candidate_name,party,votes_total
130,NV,Hillary Clinton,DEM,537753.0
131,NV,Donald Trump,GOP,511319.0
132,NV,Gary Johnson,LIB,37299.0
133,NV,Other,OTH,36619.0
134,NH,Hillary Clinton,DEM,348521.0
135,NH,Donald Trump,GOP,345789.0
136,NH,Gary Johnson,LIB,30827.0
137,NH,Jill Stein,GRN,6416.0
138,NJ,Hillary Clinton,DEM,2021756.0
139,NJ,Donald Trump,GOP,1535513.0
140,NJ,Gary Johnson,LIB,68695.0
141,NJ,Jill Stein,GRN,35949.0
142,NJ,Other,OTH,12980.0
143,NM,Hillary Clinton,DEM,380724.0
144,NM,Donald Trump,GOP,315875.0
145,NM,Gary Johnson,LIB,73669.0
146,NM,Jill Stein,GRN,9729.0
147,NM,Other,OTH,3130.0
148,NY,Hillary Clinton,DEM,4143874.0
149,NY,Donald Trump,GOP,2640570.0
150,NY,Gary Johnson,LIB,161836.0
151,NY,Jill Stein,GRN,99895.0
152,NC,Donald Trump,GOP,2339603.0
153,NC,Hillary Clinton,DEM,2162074.0
154,NC,Gary Johnson,LIB,127794.0
155,ND,Donald Trump,GOP,216133.0
156,ND,Hillary Clinton,DEM,93526.0
157,ND,Gary Johnson,LIB,21351.0
158,ND,Jill Stein,GRN,3769.0
159,ND,Other,OTH,2189.0
160,OH,Donald Trump,GOP,2771984.0
161,OH,Hillary Clinton,DEM,2317001.0
162,OH,Gary Johnson,LIB,168599.0
163,OH,Jill Stein,GRN,44310.0
164,OH,Other,OTH,23501.0
165,OK,Donald Trump,GOP,947934.0
166,OK,Hillary Clinton,DEM,419788.0
167,OK,Gary Johnson,LIB,83334.0
168,OR,Hillary Clinton,DEM,934631.0
169,OR,Donald Trump,GOP,742506.0
170,OR,Gary Johnson,LIB,86306.0
171,OR,Jill Stein,GRN,45132.0
172,PA,Donald Trump,GOP,2912941.0
173,PA,Hillary Clinton,DEM,2844705.0
174,PA,Gary Johnson,LIB,142653.0
175,PA,Jill Stein,GRN,48912.0
176,PA,Other,OTH,20896.0
177,RI,Hillary Clinton,DEM,249902.0
178,RI,Donald Trump,GOP,179421.0
179,RI,Gary Johnson,LIB,14643.0
180,RI,Jill Stein,GRN,6155.0
181,SC,Donald Trump,GOP,1143611.0
182,SC,Hillary Clinton,DEM,849469.0
183,SC,Gary Johnson,LIB,48715.0
184,SC,Evan McMullin,INP,20795.0
185,SC,Jill Stein,GRN,12917.0
186,SC,Other,OTH,8937.0
187,SD,Donald Trump,GOP,227701.0
188,SD,Hillary Clinton,DEM,117442.0
189,SD,Gary Johnson,LIB,20845.0
190,SD,Other,OTH,4059.0
191,TN,Donald Trump,GOP,1517402.0
192,TN,Hillary Clinton,DEM,867110.0
193,TN,Gary Johnson,LIB,70084.0
194,TN,Jill Stein,GRN,15919.0
195,TN,Other,OTH,14176.0
196,TX,Donald Trump,GOP,4681590.0
197,TX,Hillary Clinton,DEM,3867816.0
198,TX,Gary Johnson,LIB,282524.0
199,TX,Jill Stein,GRN,71307.0
200,UT,Donald Trump,GOP,452086.0
201,UT,Hillary Clinton,DEM,274188.0
202,UT,Evan McMullin,UNA,207288.0
203,UT,Gary Johnson,LIB,33142.0
204,UT,Other,OTH,10558.0
205,UT,Jill Stein,GRN,7695.0
206,VT,Hillary Clinton,DEM,178179.0
207,VT,Donald Trump,GOP,95053.0
208,VT,Gary Johnson,LIB,10047.0
209,VT,Jill Stein,GRN,6748.0
210,VT,Other,OTH,1386.0
211,VA,Hillary Clinton,DEM,1916845.0
212,VA,Donald Trump,GOP,1731156.0
213,VA,Gary Johnson,LIB,116600.0
214,VA,Evan McMullin,IND,52914.0
215,VA,Jill Stein,GRN,27272.0
216,WA,Hillary Clinton,DEM,1610524.0
217,WA,Donald Trump,GOP,1129120.0
218,WA,Gary Johnson,LIB,144599.0
219,WA,Jill Stein,GRN,51066.0
220,WA,Other,OTH,22633.0
221,WV,Donald Trump,GOP,486198.0
222,WV,Hillary Clinton,DEM,187457.0
